2081, 2081
[-1.#IND; -1.#IND; -1.#IND]
[-1.#IND; -1.#IND; -1.#IND]
[237.37151; -26.537876; 1]
[217.18703; -37.116215; 1]
[196.89708; -46.642216; 0.99999994]
[166.54431; -44.070621; 1]
[142.77655; -44.28944; 0.99999994]
[137.89891; -54.395927; 1]
[128.16573; -57.094429; 0.99999994]
[75.583023; -53.606014; 0.99999994]
[14.31674; -56.926926; 1]
[45.027958; -42.242374; 1]
[56.452339; -61.777779; 1]
[53.926292; -56.232414; 1]
[54.059517; -68.008369; 1]
[59.608376; -63.06197; 1]
[32.805149; -62.369766; 1]
[19.268435; -52.863914; 1]
[6.2323036; -54.184792; 1]
[25.119688; -38.070744; 1]
[3.4096959; -34.36322; 1]
[-4.9755526; -32.27573; 1]
[-11.225952; -57.138523; 1]
[-19.671244; -50.899456; 1]
[-20.305109; -46.290718; 1]
[-16.905191; -49.676914; 0.99999994]
[-27.607111; -42.777252; 1]
[-35.498367; -33.483551; 1]
[-52.299538; -14.167333; 1]
[-83.143776; 3.2793839; 1]
[-120.37804; 20.693085; 1]
[-155.58157; 30.364122; 0.99999994]
[-217.12418; 29.252655; 1]
[-268.61066; 16.593378; 1]
[-314.56024; 5.7417145; 1]
[-395.47562; 9.7691193; 1]
[-456.95523; 18.911617; 0.99999994]
[-462.33813; 17.728333; 1]
[-482.12561; 12.140789; 1]
[-554.22693; 19.640974; 1]
[-712.07184; 11.013084; 1]
[-838.73798; 32.11919; 1]
[-968.01459; 39.711746; 1]
[-1155.219; 68.174995; 1]
[-1376.6613; 47.99947; 1]
[-1373.5605; 64.550339; 1]
[-1371.4399; 81.160675; 0.99999994]
[-1295.3942; 80.028641; 1]
[-1081.8717; 37.989368; 1]
[-897.90808; 6.202836; 1]
[-835.87378; -28.976633; 1]
[-803.45563; -33.23978; 1]
[-725.29352; -63.251244; 1]
[-614.66748; 73.821815; 1]
[-484.34631; 57.055775; 1]
[-351.01053; 25.296801; 1]
[-276.25351; -64.171989; 1]
[-144.92778; -94.387482; 1]
[14.67937; -109.14195; 1]
[74.983131; -126.92237; 1]
[148.47276; -128.80574; 1]
[188.95021; -123.31413; 1]
[155.13173; -119.75297; 1]
[95.551445; -171.24231; 1]
[21.741037; -202.63602; 1]
[-22.482849; -220.87039; 1]
[-201.70677; -345.80289; 1]
[-324.6376; -387.71338; 1]
[-354.34549; -403.52899; 1]
[-293.55838; -445.31165; 1]
[-377.25601; -487.36008; 1]
[-407.44919; -504.69681; 1]
